source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051234,establishment of localization,2.6910061624812315e-06,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4928,190,82,21026,0.43157894736842106,0.016639610389610388,query_1,['GO:0051179']
GO:BP,GO:0006810,transport,3.2878585148613617e-06,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4407,190,76,21026,0.4,0.017245291581574767,query_1,['GO:0051234']
GO:BP,GO:0009199,ribonucleoside triphosphate metabolic process,3.9903342782185554e-06,True,"""The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",260,190,16,21026,0.08421052631578947,0.06153846153846154,query_1,['GO:0009141']
GO:BP,GO:0009144,purine nucleoside triphosphate metabolic process,3.9903342782185554e-06,True,"""The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",260,190,16,21026,0.08421052631578947,0.06153846153846154,query_1,['GO:0009141']
GO:BP,GO:0015986,proton motive force-driven ATP synthesis,4.230976731693387e-06,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",78,190,10,21026,0.05263157894736842,0.1282051282051282,query_1,['GO:0006754']
KEGG,KEGG:04670,Leukocyte transendothelial migration,5.247590879280279e-06,True,Leukocyte transendothelial migration,114,119,12,8484,0.10084033613445378,0.10526315789473684,query_1,['KEGG:00000']
GO:MF,GO:0005200,structural constituent of cytoskeleton,5.870902137814051e-06,True,"""The action of a molecule that contributes to the structural integrity of a cytoskeletal structure."" [GOC:mah]",114,190,11,20246,0.05789473684210526,0.09649122807017543,query_1,['GO:0005198']
GO:CC,GO:0071944,cell periphery,7.209574291266162e-06,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6347,194,92,22149,0.4742268041237113,0.014495037025366315,query_1,['GO:0110165']
GO:BP,GO:0030855,epithelial cell differentiation,7.757563792145133e-06,True,"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."" [GOC:ecd, PMID:11839751]",746,190,26,21026,0.1368421052631579,0.03485254691689008,query_1,"['GO:0030154', 'GO:0060429']"
KEGG,KEGG:04666,Fc gamma R-mediated phagocytosis,8.01576989403482e-06,True,Fc gamma R-mediated phagocytosis,96,119,11,8484,0.09243697478991597,0.11458333333333333,query_1,['KEGG:00000']
GO:BP,GO:0009117,nucleotide metabolic process,8.833946629076646e-06,True,"""The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."" [GOC:ma]",493,190,21,21026,0.11052631578947368,0.04259634888438134,query_1,['GO:0006753']
GO:BP,GO:0009141,nucleoside triphosphate metabolic process,9.408043952435728e-06,True,"""The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",276,190,16,21026,0.08421052631578947,0.057971014492753624,query_1,['GO:0006753']
GO:BP,GO:0051128,regulation of cellular component organization,1.0503724013923885e-05,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,190,51,21026,0.26842105263157895,0.02096177558569667,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0060429,epithelium development,1.1344451122075094e-05,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1238,190,34,21026,0.17894736842105263,0.027463651050080775,query_1,['GO:0009888']
REAC,REAC:R-HSA-195258,RHO GTPase Effectors,1.1872820086468141e-05,True,RHO GTPase Effectors,318,143,19,11004,0.13286713286713286,0.059748427672955975,query_1,['REAC:R-HSA-194315']
GO:CC,GO:0043227,membrane-bounded organelle,1.2628171952795058e-05,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",15780,194,170,22149,0.8762886597938144,0.010773130544993664,query_1,['GO:0043226']
GO:CC,GO:0005911,cell-cell junction,1.4066379556336912e-05,True,"""A cell junction that forms a connection between two or more cells of an organism; excludes direct cytoplasmic intercellular bridges, such as ring canals in insects."" [GOC:aruk, GOC:bc, GOC:dgh, GOC:hb, GOC:mah, PMID:21422226, PMID:28096264]",526,194,20,22149,0.10309278350515463,0.03802281368821293,query_1,['GO:0070161']
GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,1.8089710527491734e-05,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",67,190,9,21026,0.04736842105263158,0.13432835820895522,query_1,"['GO:0006119', 'GO:0015986']"
GO:BP,GO:0045216,cell-cell junction organization,2.0611041910191212e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-cell junction. A cell-cell junction is a specialized region of connection between two cells."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",215,190,14,21026,0.07368421052631578,0.06511627906976744,query_1,['GO:0034330']
GO:BP,GO:0030036,actin cytoskeleton organization,2.1931040259641833e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]",729,190,25,21026,0.13157894736842105,0.03429355281207133,query_1,"['GO:0007010', 'GO:0030029']"
KEGG,KEGG:01100,Metabolic pathways,2.5749765038748545e-05,True,Metabolic pathways,1537,119,45,8484,0.37815126050420167,0.029277813923227064,query_1,['KEGG:00000']
GO:CC,GO:0016328,lateral plasma membrane,2.6431172280455667e-05,True,"""The portion of the plasma membrane at the lateral side of the cell. In epithelial cells, lateral plasma membranes are on the sides of cells which lie at the interface of adjacent cells."" [GOC:hb, GOC:mah, GOC:pr]",88,194,9,22149,0.04639175257731959,0.10227272727272728,query_1,"['GO:0005886', 'GO:0110165']"
GO:BP,GO:0006163,purine nucleotide metabolic process,2.8018961908921962e-05,True,"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",430,190,19,21026,0.1,0.044186046511627906,query_1,"['GO:0009117', 'GO:0072521']"
GO:CC,GO:0030054,cell junction,2.8067016110710772e-05,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, ISBN:0198506732, PMID:26820516, PMID:28096264]",2401,194,47,22149,0.2422680412371134,0.019575177009579343,query_1,['GO:0110165']
GO:BP,GO:0097435,supramolecular fiber organization,3.513466717981341e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]",861,190,27,21026,0.14210526315789473,0.0313588850174216,query_1,['GO:0016043']
GO:MF,GO:0008092,cytoskeletal protein binding,3.5506465993887536e-05,True,"""Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."" [GOC:mah]",1001,190,29,20246,0.15263157894736842,0.028971028971028972,query_1,['GO:0005515']
GO:BP,GO:0110053,regulation of actin filament organization,3.609783732212067e-05,True,"""Any process that modulates the frequency, rate or extent of actin filament organization."" [GOC:kmv]",263,190,15,21026,0.07894736842105263,0.057034220532319393,query_1,"['GO:0007015', 'GO:0032956', 'GO:1902903']"
REAC,REAC:R-HSA-9707564,Cytoprotection by HMOX1,4.0342300266184185e-05,True,Cytoprotection by HMOX1,62,143,9,11004,0.06293706293706294,0.14516129032258066,query_1,['REAC:R-HSA-9711123']
GO:CC,GO:0043296,apical junction complex,4.217716278131547e-05,True,"""A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes and in some invertebrates, such as Drosophila, is composed of the subapical complex (SAC), the zonula adherens and the septate junction. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability."" [GOC:go_curators, GOC:kmv, PMID:12525486, PMID:15196556]",155,194,11,22149,0.05670103092783505,0.07096774193548387,query_1,['GO:0005911']
GO:CC,GO:0005886,plasma membrane,4.2469265601300464e-05,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5866,194,85,22149,0.4381443298969072,0.014490282986703034,query_1,"['GO:0016020', 'GO:0071944']"
REAC,REAC:R-HSA-5628897,TP53 Regulates Metabolic Genes,5.2960772616901915e-05,True,TP53 Regulates Metabolic Genes,84,143,10,11004,0.06993006993006994,0.11904761904761904,query_1,['REAC:R-HSA-3700989']
REAC,REAC:R-HSA-1430728,Metabolism,5.332470390877241e-05,True,Metabolism,2100,143,54,11004,0.3776223776223776,0.025714285714285714,query_1,['REAC:0000000']
KEGG,KEGG:05130,Pathogenic Escherichia coli infection,5.549893382421652e-05,True,Pathogenic Escherichia coli infection,197,119,14,8484,0.11764705882352941,0.07106598984771574,query_1,['KEGG:00000']
GO:BP,GO:0006754,ATP biosynthetic process,5.939332944154075e-05,True,"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]",102,190,10,21026,0.05263157894736842,0.09803921568627451,query_1,"['GO:0009152', 'GO:0009206', 'GO:0046034']"
GO:BP,GO:0032879,regulation of localization,6.035574340503625e-05,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2029,190,44,21026,0.23157894736842105,0.02168555938886151,query_1,"['GO:0050789', 'GO:0051179']"
GO:BP,GO:0009888,tissue development,6.303236057652181e-05,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2032,190,44,21026,0.23157894736842105,0.021653543307086614,query_1,['GO:0048856']
GO:MF,GO:0004129,cytochrome-c oxidase activity,7.333892166920536e-05,True,"""Catalysis of the reaction: 4 ferrocytochrome c + O2 + 4 H+ = 4 ferricytochrome c + 2 H2O."" [RHEA:11436]",14,190,5,20246,0.02631578947368421,0.35714285714285715,query_1,"['GO:0009055', 'GO:0015078', 'GO:0015453', 'GO:0016675', 'GO:0022853']"
GO:CC,GO:0005902,microvillus,7.371870799933403e-05,True,"""Thin cylindrical membrane-covered projections on the surface of an animal cell containing a core bundle of actin filaments. Present in especially large numbers on the absorptive surface of intestinal cells."" [ISBN:0815316194]",99,194,9,22149,0.04639175257731959,0.09090909090909091,query_1,['GO:0098858']
GO:CC,GO:0031252,cell leading edge,9.779742101518518e-05,True,"""The area of a motile cell closest to the direction of movement."" [GOC:pg]",433,194,17,22149,0.08762886597938144,0.03926096997690531,query_1,['GO:0110165']
GO:MF,GO:0016675,"oxidoreductase activity, acting on a heme group of donors",0.00010917184403823095,True,"""Catalysis of an oxidation-reduction (redox) reaction in which a heme group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."" [GOC:ai]",15,190,5,20246,0.02631578947368421,0.3333333333333333,query_1,['GO:0016491']
REAC,REAC:R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,0.00011650983374473149,True,RHO GTPases Activate WASPs and WAVEs,35,143,7,11004,0.04895104895104895,0.2,query_1,['REAC:R-HSA-195258']
GO:CC,GO:0031528,microvillus membrane,0.00012670980833680932,True,"""The portion of the plasma membrane surrounding a microvillus."" [GOC:mah]",33,194,6,22149,0.030927835051546393,0.18181818181818182,query_1,"['GO:0005902', 'GO:0031253']"
GO:BP,GO:0032956,regulation of actin cytoskeleton organization,0.00013644721911455003,True,"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:mah]",334,190,16,21026,0.08421052631578947,0.04790419161676647,query_1,"['GO:0030036', 'GO:0032970', 'GO:0051493']"
GO:BP,GO:0032530,regulation of microvillus organization,0.00013873958265747552,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a microvillus."" [GOC:mah]",13,190,5,21026,0.02631578947368421,0.38461538461538464,query_1,"['GO:0032528', 'GO:0120035']"
GO:BP,GO:0032536,regulation of cell projection size,0.00013873958265747552,True,"""A process that modulates the size of a cell projection."" [GOC:mah]",13,190,5,21026,0.02631578947368421,0.38461538461538464,query_1,['GO:0032535']
GO:BP,GO:1901135,carbohydrate derivative metabolic process,0.00014197255000434602,True,"""The chemical reactions and pathways involving carbohydrate derivative."" [GOC:TermGenie]",983,190,28,21026,0.14736842105263157,0.028484231943031537,query_1,['GO:0008152']
GO:BP,GO:0009260,ribonucleotide biosynthetic process,0.00014481724276942202,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleotide, a compound consisting of ribonucleoside (a base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",176,190,12,21026,0.06315789473684211,0.06818181818181818,query_1,"['GO:0009165', 'GO:0009259', 'GO:0046390']"
GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.00015889280361884093,True,"""The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",113,190,10,21026,0.05263157894736842,0.08849557522123894,query_1,"['GO:0009145', 'GO:0009201', 'GO:0009205']"
GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.00017281848458149636,True,"""The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",114,190,10,21026,0.05263157894736842,0.08771929824561403,query_1,"['GO:0009142', 'GO:0009144']"
REAC,REAC:R-HSA-1614517,Sulfide oxidation to sulfate,0.00017480171005037273,True,Sulfide oxidation to sulfate,6,143,4,11004,0.027972027972027972,0.6666666666666666,query_1,['REAC:R-HSA-1614558']
KEGG,KEGG:05132,Salmonella infection,0.00017576142350298135,True,Salmonella infection,249,119,15,8484,0.12605042016806722,0.060240963855421686,query_1,['KEGG:00000']
GO:BP,GO:0007005,mitochondrion organization,0.00018470513261852764,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrion; includes mitochondrial morphogenesis and distribution, and replication of the mitochondrial genome as well as synthesis of new mitochondrial components."" [GOC:dph, GOC:jl, GOC:mah, GOC:sgd_curators, PMID:9786946]",435,190,18,21026,0.09473684210526316,0.041379310344827586,query_1,['GO:0006996']
GO:BP,GO:0006753,nucleoside phosphate metabolic process,0.00020221240216756637,True,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",646,190,22,21026,0.11578947368421053,0.034055727554179564,query_1,"['GO:0006796', 'GO:0019637', 'GO:0055086']"
GO:CC,GO:0043226,organelle,0.00020884171049510134,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",16936,194,175,22149,0.9020618556701031,0.010333018422295701,query_1,['GO:0110165']
GO:BP,GO:0051049,regulation of transport,0.0002201500505450547,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1607,190,37,21026,0.19473684210526315,0.023024268823895456,query_1,"['GO:0006810', 'GO:0032879']"
GO:BP,GO:0046390,ribose phosphate biosynthetic process,0.0002222066936784579,True,"""The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar."" [GOC:ai]",183,190,12,21026,0.06315789473684211,0.06557377049180328,query_1,"['GO:0019693', 'GO:0090407', 'GO:1901137']"
GO:CC,GO:0016324,apical plasma membrane,0.00022496050155124518,True,"""The region of the plasma membrane located at the apical end of the cell."" [GOC:curators]",408,194,16,22149,0.08247422680412371,0.0392156862745098,query_1,"['GO:0045177', 'GO:0098590']"
REAC,REAC:R-HSA-9837999,Mitochondrial protein degradation,0.00023016465673361488,True,Mitochondrial protein degradation,98,143,10,11004,0.06993006993006994,0.10204081632653061,query_1,['REAC:R-HSA-392499']
GO:CC,GO:0031253,cell projection membrane,0.00023881796217514048,True,"""The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection."" [GOC:krc, GOC:mah]",360,194,15,22149,0.07731958762886598,0.041666666666666664,query_1,"['GO:0098590', 'GO:0120025']"
GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.00025983970473276037,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",119,190,10,21026,0.05263157894736842,0.08403361344537816,query_1,"['GO:0009142', 'GO:0009199']"
GO:MF,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",0.00030443388274521265,True,"""Enables the synthesis of ATP from ADP and phosphate by the transfer of protons from one side of a membrane to the other by a rotational mechanism driven by a gradient according to the reaction: ADP + H2O + phosphate + H+(in) -> ATP + H+(out)."" [RHEA:57722]",18,190,5,20246,0.02631578947368421,0.2777777777777778,query_1,"['GO:0015252', 'GO:0016874']"
REAC,REAC:R-HSA-3928662,EPHB-mediated forward signaling,0.000305967024096362,True,EPHB-mediated forward signaling,40,143,7,11004,0.04895104895104895,0.175,query_1,['REAC:R-HSA-2682334']
GO:MF,GO:0005515,protein binding,0.00040161310188586524,True,"""Binding to a protein."" [GOC:go_curators]",15123,190,169,20246,0.8894736842105263,0.01117503140911195,query_1,['GO:0005488']
GO:BP,GO:0055086,nucleobase-containing small molecule metabolic process,0.0004090325787983675,True,"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]",673,190,22,21026,0.11578947368421053,0.03268945022288262,query_1,"['GO:0006139', 'GO:0044281']"
GO:CC,GO:0005938,cell cortex,0.0004268740595987214,True,"""The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."" [GOC:mah, ISBN:0815316194]",328,194,14,22149,0.07216494845360824,0.042682926829268296,query_1,"['GO:0005737', 'GO:0071944']"
REAC,REAC:R-HSA-194315,Signaling by Rho GTPases,0.0004355231672042843,True,Signaling by Rho GTPases,701,143,26,11004,0.18181818181818182,0.037089871611982884,query_1,['REAC:R-HSA-9716542']
GO:BP,GO:0051017,actin filament bundle assembly,0.0004729861169040542,True,"""The assembly of actin filament bundles; actin filaments are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness."" [GOC:ai]",160,190,11,21026,0.05789473684210526,0.06875,query_1,"['GO:0022607', 'GO:0061572']"
GO:BP,GO:0009142,nucleoside triphosphate biosynthetic process,0.0004798529233207224,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",127,190,10,21026,0.05263157894736842,0.07874015748031496,query_1,"['GO:0009141', 'GO:1901293']"
GO:BP,GO:0061572,actin filament bundle organization,0.0005705288781093958,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle."" [GOC:dph]",163,190,11,21026,0.05789473684210526,0.06748466257668712,query_1,['GO:0007015']
GO:CC,GO:0005885,Arp2/3 protein complex,0.0005982253903873959,True,"""A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."" [GOC:jl, GOC:vw, PMID:12479800]",11,194,4,22149,0.020618556701030927,0.36363636363636365,query_1,"['GO:0015629', 'GO:0032991']"
REAC,REAC:R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0006485312361109781,True,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",716,143,26,11004,0.18181818181818182,0.036312849162011177,query_1,['REAC:R-HSA-162582']
KEGG,KEGG:00920,Sulfur metabolism,0.0006922550952870945,True,Sulfur metabolism,10,119,4,8484,0.03361344537815126,0.4,query_1,['KEGG:00000']
GO:BP,GO:0034109,homotypic cell-cell adhesion,0.0007386042639171306,True,"""The attachment of a cell to a second cell of the identical type via adhesion molecules."" [GOC:add]",102,190,9,21026,0.04736842105263158,0.08823529411764706,query_1,['GO:0098609']
REAC,REAC:R-HSA-421270,Cell-cell junction organization,0.0007747110245368891,True,Cell-cell junction organization,87,143,9,11004,0.06293706293706294,0.10344827586206896,query_1,['REAC:R-HSA-446728']
GO:BP,GO:0065008,regulation of biological quality,0.0008112107352333265,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2947,190,53,21026,0.2789473684210526,0.017984390906006106,query_1,['GO:0065007']
GO:BP,GO:1902903,regulation of supramolecular fiber organization,0.0008699749880409759,True,"""Any process that modulates the frequency, rate or extent of supramolecular fiber organization."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:23921388]",383,190,16,21026,0.08421052631578947,0.04177545691906005,query_1,"['GO:0051128', 'GO:0097435']"
GO:BP,GO:0019637,organophosphate metabolic process,0.0009155320449308716,True,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",1077,190,28,21026,0.14736842105263157,0.025998142989786442,query_1,['GO:0006793']
REAC,REAC:R-HSA-446728,Cell junction organization,0.0009373677285279283,True,Cell junction organization,114,143,10,11004,0.06993006993006994,0.08771929824561403,query_1,['REAC:R-HSA-1500931']
REAC,REAC:R-HSA-2682334,EPH-Ephrin signaling,0.0010321126916077732,True,EPH-Ephrin signaling,90,143,9,11004,0.06293706293706294,0.1,query_1,['REAC:R-HSA-422475']
KEGG,KEGG:05100,Bacterial invasion of epithelial cells,0.0010613799817248985,True,Bacterial invasion of epithelial cells,77,119,8,8484,0.06722689075630252,0.1038961038961039,query_1,['KEGG:00000']
GO:CC,GO:0016323,basolateral plasma membrane,0.00112341437419085,True,"""The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."" [GOC:go_curators]",260,194,12,22149,0.061855670103092786,0.046153846153846156,query_1,"['GO:0009925', 'GO:0098590']"
REAC,REAC:R-HSA-5626467,RHO GTPases activate IQGAPs,0.0012931896307971657,True,RHO GTPases activate IQGAPs,32,143,6,11004,0.04195804195804196,0.1875,query_1,['REAC:R-HSA-195258']
GO:BP,GO:1902896,terminal web assembly,0.0014527645629328642,True,"""The aggregation, arrangement and bonding together of a set of components to form a terminal web."" [GO_REF:0000079, GOC:kmv, GOC:TermGenie, PMID:21949650]",3,190,3,21026,0.015789473684210527,1.0,query_1,"['GO:0030866', 'GO:0140694']"
REAC,REAC:R-HSA-1500931,Cell-Cell communication,0.0016805184164053039,True,Cell-Cell communication,150,143,11,11004,0.07692307692307693,0.07333333333333333,query_1,['REAC:0000000']
GO:BP,GO:0007010,cytoskeleton organization,0.0017597868054884586,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1529,190,34,21026,0.17894736842105263,0.02223675604970569,query_1,['GO:0006996']
GO:BP,GO:0032535,regulation of cellular component size,0.0018165170187798216,True,"""A process that modulates the size of a cellular component."" [GOC:mah]",356,190,15,21026,0.07894736842105263,0.042134831460674156,query_1,"['GO:0016043', 'GO:0090066']"
GO:BP,GO:0072521,purine-containing compound metabolic process,0.0018198489054221559,True,"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",563,190,19,21026,0.1,0.03374777975133215,query_1,['GO:0008152']
GO:BP,GO:0008064,regulation of actin polymerization or depolymerization,0.0018644401823600676,True,"""Any process that modulates the frequency, rate or extent of the assembly or disassembly of actin filaments by the addition or removal of actin monomers from a filament."" [GOC:mah]",147,190,10,21026,0.05263157894736842,0.06802721088435375,query_1,"['GO:0008154', 'GO:0030832', 'GO:0110053']"
GO:BP,GO:0030832,regulation of actin filament length,0.00224347302342833,True,"""Any process that controls the length of actin filaments in a cell."" [GOC:dph, GOC:mah]",150,190,10,21026,0.05263157894736842,0.06666666666666667,query_1,"['GO:0032535', 'GO:0032956']"
GO:CC,GO:0014704,intercalated disc,0.0022708887337332846,True,"""A complex cell-cell junction at which myofibrils terminate in cardiomyocytes; mediates mechanical and electrochemical integration between individual cardiomyocytes. The intercalated disc contains regions of tight mechanical attachment (fasciae adherentes and desmosomes) and electrical coupling (gap junctions) between adjacent cells."" [GOC:mtg_muscle, PMID:11732910]",53,194,6,22149,0.030927835051546393,0.11320754716981132,query_1,['GO:0044291']
GO:BP,GO:0051493,regulation of cytoskeleton organization,0.002299650908108915,True,"""Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]",517,190,18,21026,0.09473684210526316,0.03481624758220503,query_1,"['GO:0007010', 'GO:0033043']"
GO:BP,GO:0009165,nucleotide biosynthetic process,0.002463253800322312,True,"""The chemical reactions and pathways resulting in the formation of nucleotides, any nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic-nucleotides (nucleoside cyclic phosphates)."" [GOC:go_curators]",229,190,12,21026,0.06315789473684211,0.05240174672489083,query_1,"['GO:0009117', 'GO:1901293']"
GO:BP,GO:0008154,actin polymerization or depolymerization,0.002760004098605124,True,"""Assembly or disassembly of actin filaments by the addition or removal of actin monomers from a filament."" [GOC:mah]",191,190,11,21026,0.05789473684210526,0.05759162303664921,query_1,['GO:0007015']
GO:BP,GO:0045010,actin nucleation,0.002847186837505614,True,"""The initial step in the formation of an actin filament, in which actin monomers combine to form a new filament. Nucleation is slow relative to the subsequent addition of more monomers to extend the filament."" [ISBN:0815316194]",62,190,7,21026,0.03684210526315789,0.11290322580645161,query_1,['GO:0007015']
